CookerStat, GenerateAssetRegistry=0.040770, Initialize=0.187811, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
MaterialTransactionId1EE02CF446FE478FC03D78B0AA6A4E60_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3B681DE4A466DE45DB163A2A60331C662_Num_SM5__0___TBasePassVSFCachedVolumeIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_NonPerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_PerspectiveCorrecttrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_PerspectiveCorrecttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TShadowDepthVSForGSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TShadowDepthPSPixelShadowDepth_OnePassPointLighttrueCAB07D2D95B9FDBA4D93434B857B7D78E9EF61F717742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222212402222222222222222222222222222000044040000001400000014000000140000001400000014000000_TShadowDepthVSVertexShadowDepth_OutputDepthtrue4B45B91074D2CFA7ACE4DE03393192218069847A170422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022222222222222222222020040440000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedVolumeIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedVolumeIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFCachedPointIndirectLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFCachedPointIndirectLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFSimpleDynamicLightingPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFSimpleDynamicLightingPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicySkylight8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000064000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210440444444232341414141414141414141414121301214141414141414140443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444442500000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000008000000080000000800000008000000080000000800000049000000100000000900000008000000100000001000000010000000260000001800000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000008000000080000000800000008000000080000000800000013000000100000000A0000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, ShaderCompilation=4397.892090, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_20, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_49__2AFF3FD6FF42607E37B510A360C5BD441B655018, StartTime=2019.01.05-17.11.18, HierarchicalDDC=, DataSize=7609, Duration=5.383927, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_772EC4AA4FE37A75859A06BDE35DAD2__C6FFEDA5E05B0F8A19E6E3BFFB8CEC4763CF1A86, StartTime=2019.01.05-17.11.18, HierarchicalDDC=, DataSize=2966, Duration=5.376820, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_22, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_772EC4AA4FE37A758__C4586B72CF958BE960828DAE4198F4D54F63689A, StartTime=2019.01.05-17.11.18, HierarchicalDDC=, DataSize=837, Duration=5.918160, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_23, PutCachedData=, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3__44F60FA95211952AE29962A1D96541C73F81387B, StartTime=2019.01.05-17.11.23, HierarchicalDDC=, DataSize=98848, Duration=3.940619, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_24, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_D0__40A98EA3F12DAAEAC72C18733C07D3D73D1CBD9A, StartTime=2019.01.05-17.11.30, HierarchicalDDC=, DataSize=2593, Duration=5.367089, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6FC24B864558DD9D69F56B99D170F2F__ED240008737B749BF800C5D2DC6CB6B370A47405, StartTime=2019.01.05-17.11.30, HierarchicalDDC=, DataSize=1610, Duration=5.315531, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_26, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6FC24B864558DD9D6__F2138405AF9D88B2519DAE403F78B63B6998D1C4, StartTime=2019.01.05-17.11.30, HierarchicalDDC=, DataSize=717, Duration=6.464232, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_27, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_C4__EBB4899E414960F6726A1B4D6147EC6D0FA15E48, StartTime=2019.01.05-17.11.35, HierarchicalDDC=, DataSize=4921, Duration=5.419962, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_28, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6103BF9C40B414FA5A445199F1B1D57__460198AB08EE52CD945CF42FA4F85DC496FBDC05, StartTime=2019.01.05-17.11.35, HierarchicalDDC=, DataSize=4162, Duration=4.609268, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_29, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_6103BF9C40B414FA5__32EEA70F2EDB54B4E3E436601D464515F17582F5, StartTime=2019.01.05-17.11.35, HierarchicalDDC=, DataSize=2277, Duration=5.648542, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_30, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_19__BD56B18BABD47132372655264A7B5CA67AF12357, StartTime=2019.01.05-17.11.39, HierarchicalDDC=, DataSize=55893, Duration=5.523071, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_31, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_658C86EB47D1E5E4554DAB90058FAA6__183E9DA680414301BB75F2CF6DC75A63D9A7DAEB, StartTime=2019.01.05-17.11.39, HierarchicalDDC=, DataSize=13358, Duration=6.033897, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_32, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_658C86EB47D1E5E45__2909BE0C999548E78699109FD302FE51AFB83E87, StartTime=2019.01.05-17.11.39, HierarchicalDDC=, DataSize=1893, Duration=5.503345, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_33, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_6F__E679EC299E0A1FE4E73E022D363E2CFB03CA6E7F, StartTime=2019.01.05-17.18.06, HierarchicalDDC=, DataSize=3261, Duration=5.722720, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_34, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF27415B4B9F7CEC0FFA33BD8A2A8A3__E776BFA046A13DAAE295645BC9ED02C2A9221130, StartTime=2019.01.05-17.18.06, HierarchicalDDC=, DataSize=2306, Duration=5.044867, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_35, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_FF27415B4B9F7CEC0__359E7714CC7D39300809A13EBAACB6638B0B72A7, StartTime=2019.01.05-17.18.06, HierarchicalDDC=, DataSize=1221, Duration=6.106761, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
SavePackageTransactionIdD1947BAD479E642F1A7675A0C3CC29EF_1, Filename=../../../../../TowerOfDefence/TopDownMiniGame/Content/TopDownBP/Maps/Untitled.umap, AutoPackageBackupDelegate=0.174660, FlushAsyncLoading=0.003155, FlushStreamingFunc=0.067864, BlockTillAllRequestsFinished=0.003949, ResetLoadersForSaveUnMarkAllObjects=0.331167, TagPackageExports=0.647608, BeginCacheForCookedPlatformData=0.001580, SerializeImports=1.648214, GatherLocalizableTextData=6.008122, MarkNames=0.045504, SerializeSummary=0.015520, SerializeNames=0.358261, SerializeGatherableTextData=0.011574, BuildExportMap=0.205174, SortExportsNonSeekfree=0.151247, SortExportsSeekfreeConstructor=0.065234, SortExportsSeekfreeInner=14.273133, SortExportsSeekfree=0.005260, BuildDependencyMap=0.057343, SerializeImportMap=0.033408, SerializeExportMap=0.040770, SerializeDependencyMap=0.004206, SerializeStringAssetReferenceMap=0.001844, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.710998, SerializeExports=4.947539, SerializeBulkData=0.508457, MoveFile=1.245499, UnaccountedTime=1.299951, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
