CookerStat, GenerateAssetRegistry=0.037089, Initialize=0.198860, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_30, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_891A0E6F4AE41FE31317889C65709F90__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=537, Duration=6.014712, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_31, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_95EBA5B04089D7AB3FB12D8F766E2B88__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=6.057855, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_32, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_27AA105D45F60D54215EB2BB6DE6E72E__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=5.334489, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_33, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DEDF933D48CBF627263F99853CBBADB5__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=575, Duration=5.567279, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_34, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E2999CE4584F3DF178CD789618E47B4__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=4.879158, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_35, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8295AFC6447A3DD495080CA2B7D80E94__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=5.091697, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_36, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1637BA4D449AEF01D8AEED9747A58E3B__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=613, Duration=5.214803, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_37, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D9DE094645890B9CD71001B1F0E24143__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=5.926855, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_38, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1F72D81E4A19C6B065A247BEC97F78F3__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=5.374994, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_39, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3DD81664C630BF54493E69BFE444A51__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=651, Duration=4.792359, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_40, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_99B6961948E8EDB3211174BBCD49E62B__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=525, Duration=6.204628, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_41, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8540B9BA476A2EED32F818BA52C62F88__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=447, Duration=4.571404, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_42, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7E7DC62F4F04967B17CD3685A8CCA658__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=689, Duration=4.056893, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_43, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_284F726F4AB3BF29547348BEF4613D9F__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=747, Duration=4.154220, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_44, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CC80F830452A588F6B09B787E6484474__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=3.606305, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_45, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCD60E1C4BA1850AF0E2F8B29F12C92E__1_0_13123_0, StartTime=2019.01.09-17.18.23, HierarchicalDDC=, DataSize=458, Duration=4.859168, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_46, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_53BDDF9F4843140F2CB5E3B13DBBF00D__1_0_13123_0, StartTime=2019.01.09-17.18.23, HierarchicalDDC=, DataSize=11129, Duration=5.301077, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_47, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D921FB0F4209C10EBB1718915BBE5CE8__1_0_13123_0, StartTime=2019.01.09-17.18.27, HierarchicalDDC=, DataSize=458, Duration=5.202968, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_48, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CE2298E04472C784859C518B2EFE3400__1_0_13123_0, StartTime=2019.01.09-17.18.27, HierarchicalDDC=, DataSize=11113, Duration=5.281091, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_49, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA006E594B1E5184902527BEAD9787DE__1_0_13123_0, StartTime=2019.01.09-17.18.31, HierarchicalDDC=, DataSize=458, Duration=4.567195, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_50, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97845A6946390B057E000EAC2D52BA47__1_0_13123_0, StartTime=2019.01.09-17.18.31, HierarchicalDDC=, DataSize=11113, Duration=4.098717, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_51, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_04B8D86749E0EA1A3ABF30A03FAEE274__1_0_13123_0, StartTime=2019.01.09-17.18.32, HierarchicalDDC=, DataSize=458, Duration=5.072497, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_52, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9983CDBB40ABEC3AE15514BBBB7F5CBF__1_0_13123_0, StartTime=2019.01.09-17.18.32, HierarchicalDDC=, DataSize=25751, Duration=5.252943, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_53, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_66BF378A40D28454FE6C869D13FC66A3__1_0_13123_0, StartTime=2019.01.09-17.18.34, HierarchicalDDC=, DataSize=458, Duration=5.236633, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_54, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5E49B420422D44569085E4B7B9C1A499__1_0_13123_0, StartTime=2019.01.09-17.18.34, HierarchicalDDC=, DataSize=25751, Duration=6.072316, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_55, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D7E070EE4DB527F327D5FEB924C9723F__1_0_13123_0, StartTime=2019.01.09-17.18.35, HierarchicalDDC=, DataSize=458, Duration=5.569123, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_56, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_90CBB4A349D0FB59FC7131876892C9D4__1_0_13123_0, StartTime=2019.01.09-17.18.35, HierarchicalDDC=, DataSize=40546, Duration=5.618047, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_57, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4958EF3748089E65A197DEBB93317F78__1_0_13123_0, StartTime=2019.01.09-17.18.37, HierarchicalDDC=, DataSize=458, Duration=5.846631, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_58, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B50B81904D3504D669380681005543EC__1_0_13123_0, StartTime=2019.01.09-17.18.37, HierarchicalDDC=, DataSize=25751, Duration=5.869776, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_59, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8B4839BB4013178EF600AA948F518171__1_0_13123_0, StartTime=2019.01.09-17.18.42, HierarchicalDDC=, DataSize=458, Duration=5.474426, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_60, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8DAD68C34CE8B22F952178BEFA4EA0B4__1_0_13123_0, StartTime=2019.01.09-17.18.42, HierarchicalDDC=, DataSize=23741, Duration=5.249787, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_61, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1F467D4C4213088F8310BEA49C3A9682__1_0_13123_0, StartTime=2019.01.09-17.18.47, HierarchicalDDC=, DataSize=458, Duration=5.497571, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_62, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3506B4548BD00C91654169BE0B693DE__1_0_13123_0, StartTime=2019.01.09-17.18.47, HierarchicalDDC=, DataSize=30636, Duration=4.996743, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_63, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B874088946DAF225D8A36FA31ABA3F6C__1_0_13123_0, StartTime=2019.01.09-17.18.47, HierarchicalDDC=, DataSize=30636, Duration=6.128874, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
